Date,Cured,Death,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate,Daily_cases
10-06-2020,135206,7745,276583,276465.0,118.0,133632,2.8002444112617186,48.884421674506385,48.31533391423189,9985
11-06-2020,141029,8102,286579,286458.0,121.0,137448,2.8271436497440496,49.21121226607672,47.961644084179234,9996
12-06-2020,147195,8498,297535,297436.0,99.0,141842,2.856134572403247,49.47149074898751,47.672374678609245,10956
13-06-2020,154330,8884,308993,308882.0,111.0,145779,2.8751460389070305,49.94611528416502,47.178738676927956,11458
14-06-2020,162379,9195,320922,320805.0,117.0,149348,2.865182193804102,50.59765301225843,46.53716479393747,11929
15-06-2020,169798,9520,332424,332299.0,125.0,153106,2.8638124804466583,51.078742810386736,46.0574447091666,11502
16-06-2020,180013,9900,343091,342973.0,118.0,153178,2.8855318268331143,52.4680041155262,44.646464057640685,10667
17-06-2020,186935,11903,354065,353927.0,138.0,155227,3.3618120966489204,52.79680284693489,43.84138505641619,10974
18-06-2020,194325,12237,366946,366808.0,138.0,160384,3.334823107487205,52.95738337521052,43.70779351730227,12881
19-06-2020,204711,12573,380532,380413.0,119.0,163248,3.3040585285862947,53.79600138753114,42.89994008388256,13586
20-06-2020,213831,12948,395048,394841.0,207.0,168269,3.2775763957797537,54.127852817885426,42.59457078633482,14516
21-06-2020,227756,13254,410461,410309.0,152.0,169451,3.229052212025016,55.48785390085782,41.28309388711717,15413
22-06-2020,237196,13699,425282,425125.0,157.0,174387,3.2211567853800536,55.77381596211455,41.00502725250539,14821
23-06-2020,248190,14011,440215,440043.0,172.0,178014,3.1827629680951355,56.379269220721696,40.43796781118317,14933
24-06-2020,258685,14476,456183,456011.0,172.0,183022,3.1732879129647533,56.706409489174305,40.12030259786095,15968
25-06-2020,271697,14894,473105,472840.0,265.0,186514,3.1481383625199477,57.42847782204797,39.423383815432096,16922
26-06-2020,285637,15301,490401,490208.0,193.0,189463,3.1200996735324766,58.24559900978995,38.63430131667758,17296
27-06-2020,295881,15685,508953,508757.0,196.0,197387,3.0818169850654185,58.13523056156462,38.78295245336996,18552
28-06-2020,309713,16095,528859,528651.0,208.0,203051,3.0433442562195214,58.562490191147354,38.39416555263312,19906
