Date,Time,Cured,Deaths,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate,Daily_cases
22-08-2020,8:00 AM,176942,4522,264546,264546.0,0.0,83082,1.7093435546181004,66.88515418868552,31.405502256696376,264546
23-08-2020,8:00 AM,184568,4615,271876,271876.0,0.0,82693,1.6974650208183142,67.88683076108227,30.415704218099428,271876
24-08-2020,8:00 AM,189564,4683,277814,277814.0,0.0,83567,1.6856601899112356,68.23414226784827,30.080197542240494,277814
25-08-2020,8:00 AM,197625,4810,283665,283665.0,0.0,81230,1.6956621366753035,69.66844693564592,28.635890927678776,283665
26-08-2020,8:00 AM,204439,4958,291826,291826.0,0.0,82429,1.6989575980207383,70.05510132750338,28.245941074475887,291826
27-08-2020,8:00 AM,211688,5091,300406,300406.0,0.0,83627,1.6947064972071129,70.46730091942239,27.837992583370507,300406
28-08-2020,8:00 AM,219554,5232,309792,309792.0,0.0,85006,1.6888751162070035,70.87142340667286,27.43970147712013,309792
29-08-2020,8:00 AM,227018,5368,318752,318752.0,0.0,86366,1.6840678646722216,71.22088645718301,27.095045678144764,318752
30-08-2020,8:00 AM,235128,5483,327076,327076.0,0.0,86465,1.6763687950201178,71.88787926964987,26.435751935330014,327076
31-08-2020,8:00 AM,242229,5589,335928,335928.0,0.0,88110,1.6637493748660428,72.10741587483031,26.228834750303637,335928
01-09-2020,8:00 AM,249467,5702,342423,342423.0,0.0,87254,1.6651918825546181,72.85345902582479,25.481349091620597,342423
02-09-2020,8:00 AM,254626,5837,351481,351481.0,0.0,91018,1.6606872064208307,72.44374518110509,25.895567612474075,351481
03-09-2020,8:00 AM,260913,5950,361341,361341.0,0.0,94478,1.6466440287706072,72.20686276951687,26.146493201712513,361341
04-09-2020,8:00 AM,268035,6054,370206,370206.0,0.0,96117,1.6353057486912692,72.4015818220126,25.96311242929612,370206
05-09-2020,8:00 AM,274196,6170,379486,379486.0,0.0,99120,1.6258834317998554,72.25457592638463,26.119540641815508,379486
06-09-2020,8:00 AM,283298,6298,389232,389232.0,0.0,99636,1.6180581247173924,72.78384099971225,25.598100875570356,389232
07-09-2020,8:00 AM,292873,6393,398551,398551.0,0.0,99285,1.6040607099216915,73.48444741074542,24.911491879332885,398551
08-09-2020,8:00 AM,300770,6534,404324,404324.0,0.0,97020,1.6160307080460223,74.38836180884637,23.995607483107605,404324
09-09-2020,8:00 AM,308573,6680,412190,412190.0,0.0,96937,1.6206118537567629,74.86183556127028,23.51755258497295,412190
10-09-2020,8:00 AM,315433,6808,421730,421730.0,0.0,99489,1.6143029900647334,74.7950110260119,23.59068598392336,421730
11-09-2020,8:00 AM,322454,6937,430947,430947.0,0.0,101556,1.6097107068850696,74.82451438343926,23.565774909675667,430947
12-09-2020,8:00 AM,334999,7067,440411,440411.0,0.0,98345,1.6046374863479793,76.06508465955663,22.330277854095378,440411
13-09-2020,8:00 AM,344556,7161,449551,449551.0,0.0,97834,1.5929227162212962,76.64447415309942,21.762603130679278,449551
14-09-2020,8:00 AM,352958,7265,459445,459445.0,0.0,99222,1.5812556453982523,76.82268824342412,21.596056111177617,459445
